Symbol;Name;AssetId
AALR3;ALLIAR ON;0
AAPL34;APPLE DRN;0
ABBV34;ABBVIE DRN;0
ABCB4;ABC BRASIL PN;0
ABCP11;FII ABC IMOB;0
ABEV3;AMBEV S/A ON;0
ABTT34;ABBOTT DRN;0
ACNB34;ACCENTURE DRN;0
ADHM3;ADVANCED-DH ON;0
AFLT3;AFLUENTE T ON;0
AGRO3;BRASILAGRO ON;0
AHEB3;SPTURIS ON;0
AIGB34;AIG GROUP DRN;0
ALMI11;FII TORRE AL;0
ALPA3;ALPARGATAS ON;0
ALPA4;ALPARGATAS PN;0
ALSO3;ALIANSCSONAE;0
ALUP11;ALUPAR UNT;0
ALUP3;ALUPAR ON;0
ALUP4;ALUPAR PN;0
ALZR11;FII ALIANZA;0
AMAR3;LOJAS MARISA ON;0
AMGN34;AMGEN DRN;0
AMZO34;AMAZON DRN;0
ANIM3;ANIMA ON;0
APER3;ALPER S.A.;0
AQLL11;FII AQUILLA;0
ARMT34;ARCELOR DRN;0
ARZZ3;AREZZO CO ON;0
ATOM3;ATOMPAR ON;0
ATSA11;FII CSHGATSA;0
ATTB34;ATT INC DRN;0
AVON34;AVON DRN;0
AXPB34;AMERICAN EXP DRN;0
AZEV3;AZEVEDO ON;0
AZEV4;AZEVEDO PN;0
AZUL4;AZUL PN;0
B3SA3;B3;0
BAHI1;BAHEMA PNB;0
BAHI3;BAHEMA ON;0
BALM4;BAUMER PN;0
BARI11;FII BARIGUI;0
BAUH4;EXCELSIOR PN;0
BAZA3;AMAZONIA ON;0
BBAS3;BRASIL ON;0
BBDC3;BRADESCO ON;0
BBDC4;BRADESCO PN;0
BBFI11B;FII BB PROGR;0
BBPO11;FII BB PRGII;0
BBRC11;FII BB CORP;0
BBRK3;BR BROKERS ON;0
BBSD11;BB ETF SP DV CI;0
BBSE3;BBSEGURIDADE ON;0
BBVJ11;FII C JARDIM;0
BCFF11;FII BC FFII;0
BCIA11;FII BCIA;0
BCRI11;FII BEES CRI;0
BDLL4;BARDELLA PN;0
BEEF3;MINERVA ON;0
BEES3;BANESTES ON;0
BEES4;BANESTES PN;0
BERK34;BERKSHIRE DRN;0
BGIP3;BANESE ON;0
BGIP4;BANESE PN;0
BIDI11;BANCO INTER UNT;0
BIDI3;BANCO INTER;0
BIDI4;BANCO INTER PN;0
BIIB34;BIOGEN DRN;0
BIOM3;BIOMM ON;0
BKBR3;BK BRASIL;0
BLAK34;BLACKROCK DRN;0
BMEB3;MERC BRASIL ON;0
BMEB4;MERC BRASIL PN;0
BMIN3;MERC INVEST ON;0
BMIN4;MERC INVEST PN;0
BMKS3;BIC MONARK ON;0
BMLC11B;FII BMBRC LC;0
BMYB34;BRISTOLMYERS DRN;0
BNBR3;NORD BRASIL ON;0
BNFS11;FII BANRISUL;0
BOAC34;BANK AMERICA DRN;0
BOBR4;BOMBRIL PN;0
BOEI34;BOEING DRN;0
BONY34;BNY MELLON DRN;0
BOVA11;ISHARES BOVA CI;0
BOVV11;IT NOW IBOV CI;0
BOXP34;BOSTON PROP DRN;0
BPAC11;BTGP BANCO UNT;0
BPAC3;BTGP BANCO ON;0
BPAC5;BTGP BANCO PNA;0
BPAN4;BANCO PAN PN;0
BPFF11;FII ABSOLUTO;0
BRAP3;BRADESPAR ON;0
BRAP4;BRADESPAR PN;0
BRAX11;ISHARES BRAX CI;0
BRCR11;FII BC FUND;0
BRDT3;PETROBRAS BR;0
BRFS3;BRF SA ON;0
BRGE11;ALFA CONSORC PNE;0
BRGE12;ALFA CONSORC PNF;0
BRGE3;ALFA CONSORC ON;0
BRGE5;ALFA CONSORC PNA;0
BRGE6;ALFA CONSORC PNB;0
BRGE8;ALFA CONSORC PND;0
BRIV3;ALFA INVEST ON;0
BRIV4;ALFA INVEST PN;0
BRKM3;BRASKEM ON;0
BRKM5;BRASKEM PNA;0
BRKM6;BRASKEM PNB;0
BRML3;BR MALLS PAR ON;0
BRPR3;BR PROPERT ON;0
BRSR3;BANRISUL ON;0
BRSR5;BANRISUL PNA;0
BRSR6;BANRISUL PNB;0
BSEV3;BIOSEV ON;0
BTCR11;FII BTG CRI;0
BTOW3;B2W DIGITAL ON;0
BTTL3;BATTISTELLA ON;0
BZLI11;FII BRREALTY;0
CAMB4;CAMBUCI PN;0
CAML3;CAMIL ON;0
CARD3;CSU CARDSYST ON;0
CARE11;FII DEA CARE;0
